study,curation_level,cur_lev_rank
37996,Level 2,4
37997,Level 1,3
37998,Level 3,5
37999,Level 1,3
38000,Level 3,5
38001,Level 0,1
38002,Fast Release,2
38003,Level 0,1
38004,Level 2,4
38005,Level 3,5
38006,Level 3,5
38012,Level 0,1
38013,Level 0,1
38014,Level 0,1
38015,Level 0,1
38016,Level 0,1
38017,Level 3,5
38019,Level 0,1
38020,Level 3,5
38021,Level 3,5
38022,Level 0,1
38023,Level 0,1
38024,Level 2,4
38025,Level 3,5
38026,Level 3,5
38027,Level 3,5
38028,Level 3,5
38030,Level 3,5
38031,Level 3,5
73051,Level 2,4
